<liquid:air>, Air
<liquid:antimatter>, Antimatter
<liquid:biodiesel>, Biodiesel
<liquid:bioethanol>, Ethanol
<liquid:biomass>, Biomass
<liquid:chlorine>, Chlorine
<liquid:creosote>, Creosote Oil
<liquid:deuterium>, Deuterium
<liquid:dye.chemical.dyeblack>, Chemical Black Dye
<liquid:dye.chemical.dyeblue>, Chemical Blue Dye
<liquid:dye.chemical.dyebrown>, Chemical Brown Dye
<liquid:dye.chemical.dyecyan>, Chemical Cyan Dye
<liquid:dye.chemical.dyegray>, Chemical Gray Dye
<liquid:dye.chemical.dyegreen>, Chemical Green Dye
<liquid:dye.chemical.dyelightblue>, Chemical Light Blue Dye
<liquid:dye.chemical.dyelightgray>, Chemical Light Gray Dye
<liquid:dye.chemical.dyelime>, Chemical Lime Dye
<liquid:dye.chemical.dyemagenta>, Chemical Magenta Dye
<liquid:dye.chemical.dyeorange>, Chemical Orange Dye
<liquid:dye.chemical.dyepink>, Chemical Pink Dye
<liquid:dye.chemical.dyepurple>, Chemical Purple Dye
<liquid:dye.chemical.dyered>, Chemical Red Dye
<liquid:dye.chemical.dyewhite>, Chemical White Dye
<liquid:dye.chemical.dyeyellow>, Chemical Yellow Dye
<liquid:dye.watermixed.dyeblack>, Water Mixed Black Dye
<liquid:dye.watermixed.dyeblue>, Water Mixed Blue Dye
<liquid:dye.watermixed.dyebrown>, Water Mixed Brown Dye
<liquid:dye.watermixed.dyecyan>, Water Mixed Cyan Dye
<liquid:dye.watermixed.dyegray>, Water Mixed Gray Dye
<liquid:dye.watermixed.dyegreen>, Water Mixed Green Dye
<liquid:dye.watermixed.dyelightblue>, Water Mixed Light Blue Dye
<liquid:dye.watermixed.dyelightgray>, Water Mixed Light Gray Dye
<liquid:dye.watermixed.dyelime>, Water Mixed Lime Dye
<liquid:dye.watermixed.dyemagenta>, Water Mixed Magenta Dye
<liquid:dye.watermixed.dyeorange>, Water Mixed Orange Dye
<liquid:dye.watermixed.dyepink>, Water Mixed Pink Dye
<liquid:dye.watermixed.dyepurple>, Water Mixed Purple Dye
<liquid:dye.watermixed.dyered>, Water Mixed Red Dye
<liquid:dye.watermixed.dyewhite>, Water Mixed White Dye
<liquid:dye.watermixed.dyeyellow>, Water Mixed Yellow Dye
<liquid:ethanol>, Ethanol
<liquid:fieryblood>, Fiery Blood
<liquid:fishoil>, Fish Oil
<liquid:fluorine>, Fluorine
<liquid:for.honey>, Honey
<liquid:fuel>, Diesel
<liquid:gas_gas>, Refinery Gas
<liquid:gas_natural_gas>, Natural Gas
<liquid:gas_sulfuricgas>, Sulfuric Gas
<liquid:glass>, Liquid Glass
<liquid:glue>, Glue
<liquid:glyceryl>, Glyceryl Trinitrate
<liquid:helium>, Helium
<liquid:helium-3>, Helium-3
<liquid:heliumg>, Gaseous Helium
<liquid:heliuml>, Liquid Helium
<liquid:holywater>, Holy Water
<liquid:honey>, fluid.honey
<liquid:hotfryingoil>, Hot Frying Oil
<liquid:hydrogen>, Hydrogen
<liquid:hydrogeng>, Gaseous Hydrogen
<liquid:hydrogenl>, Liquid Hydrogen
<liquid:ic2biogas>, Biogas
<liquid:ic2biomass>, Biomass
<liquid:ic2constructionfoam>, Construction Foam
<liquid:ic2coolant>, IC2 Coolant
<liquid:ic2distilledwater>, Distilled Water
<liquid:ic2hotcoolant>, IC2 Hot Coolant
<liquid:ic2hotwater>, Hotspring Water
<liquid:ic2pahoehoelava>, Pahoehoe Lava
<liquid:ic2steam>, Steam
<liquid:ic2superheatedsteam>, Superheated Steam
<liquid:ic2uumatter>, UU-Matter
<liquid:ice>, Crushed Ice
<liquid:indigo>, Indigo Dye
<liquid:juice>, Fruit Juice
<liquid:lava>, Lava
<liquid:liquid_cracked_heavy_fuel>, Cracked Heavy Fuel
<liquid:liquid_cracked_light_fuel>, Cracked Light Fuel
<liquid:liquid_drillingfluid>, Drilling Fluid
<liquid:liquid_epichlorhydrin>, Epichlorhydrin
<liquid:liquid_extra_heavy_oil>, Very Heavy Oil
<liquid:liquid_heavy_fuel>, Heavy Fuel
<liquid:liquid_heavy_oil>, Heavy Oil
<liquid:liquid_hydricsulfur>, Hydric Sulfide
<liquid:liquid_light_fuel>, Light Fuel
<liquid:liquid_light_oil>, Light Oil
<liquid:liquid_lpg>, LPG
<liquid:liquid_medium_oil>, Raw Oil
<liquid:liquid_naphtha>, Naphtha
<liquid:liquid_sufluriclight_fuel>, Sulfuric Light Fuel
<liquid:liquid_sulfuricheavy_fuel>, Sulfuric Heavy Fuel
<liquid:liquid_sulfuricnaphtha>, Sufluric Naphtha
<liquid:lubricant>, Lubricant
<liquid:mcguffium>, Mc Guffium 239
<liquid:mercury>, Mercury
<liquid:methane>, Methane
<liquid:milk>, Milk
<liquid:molten.adamantium>, Molten Adamantium
<liquid:molten.aluminium>, Molten Aluminium
<liquid:molten.aluminiumbrass>, Molten Aluminium Brass
<liquid:molten.alumite>, Molten Alumite
<liquid:molten.americium>, Molten Americium
<liquid:molten.amordrine>, Molten Amordrine
<liquid:molten.angmallen>, Molten Angmallen
<liquid:molten.annealedcopper>, Molten Annealed Copper
<liquid:molten.antimony>, Molten Antimony
<liquid:molten.ardite>, Molten Ardite
<liquid:molten.aredrite>, Molten Aredrite
<liquid:molten.arsenic>, Molten Arsenic
<liquid:molten.astralsilver>, Molten Astral Silver
<liquid:molten.atlarus>, Molten Atlarus
<liquid:molten.batteryalloy>, Molten Battery Alloy
<liquid:molten.beryllium>, Molten Beryllium
<liquid:molten.bismuth>, Molten Bismuth
<liquid:molten.bismuthbronze>, Molten Bismuth Bronze
<liquid:molten.blackbronze>, Molten Black Bronze
<liquid:molten.blacksteel>, Molten Black Steel
<liquid:molten.blaze>, Molten Blaze
<liquid:molten.bluealloy>, Molten Blue Alloy
<liquid:molten.bluesteel>, Molten Blue Steel
<liquid:molten.blutonium>, Molten Blutonium
<liquid:molten.brass>, Molten Brass
<liquid:molten.bronze>, Molten Bronze
<liquid:molten.caesium>, Molten Caesium
<liquid:molten.carbon>, Molten Carbon
<liquid:molten.carmot>, Molten Carmot
<liquid:molten.celenegil>, Molten Celenegil
<liquid:molten.cerium>, Molten Cerium
<liquid:molten.ceruclase>, Molten Ceruclase
<liquid:molten.cheese>, Molten Cheese
<liquid:molten.chrome>, Molten Chrome
<liquid:molten.chromiumdioxide>, Molten Chromium Dioxide
<liquid:molten.cobalt>, Molten Cobalt
<liquid:molten.cobaltbrass>, Molten Cobalt Brass
<liquid:molten.concrete>, Wet Concrete
<liquid:molten.conductiveiron>, Molten Conductive Iron
<liquid:molten.copper>, Molten Copper
<liquid:molten.cupronickel>, Molten Cupronickel
<liquid:molten.damascussteel>, Molten Damascus Steel
<liquid:molten.darkiron>, Molten Dark Iron
<liquid:molten.darksteel>, Molten Dark Steel
<liquid:molten.darkthaumium>, Molten Dark Thaumium
<liquid:molten.deepiron>, Molten Deep Iron
<liquid:molten.desh>, Molten Desh
<liquid:molten.desichalkos>, Molten Desichalkos
<liquid:molten.diamondcopper>, Molten Diamond Copper
<liquid:molten.draconium>, Molten Draconium
<liquid:molten.draconiumawakened>, Molten Awakened Draconium
<liquid:molten.duranium>, Molten Duranium
<liquid:molten.dysprosium>, Molten Dysprosium
<liquid:molten.electricalsteel>, Molten Electrical Steel
<liquid:molten.electrum>, Molten Electrum
<liquid:molten.electrumflux>, Molten Fluxed Electrum
<liquid:molten.elvenelementium>, Molten Elven Elementium
<liquid:molten.enderium>, Molten Enderium
<liquid:molten.enderiumbase>, Molten Enderium Base
<liquid:molten.endium>, Molten Endium
<liquid:molten.energeticalloy>, Molten Energetic Alloy
<liquid:molten.enrichedcopper>, Molten Enriched Copper
<liquid:molten.epoxid>, Molten Epoxid
<liquid:molten.erbium>, Molten Erbium
<liquid:molten.europium>, Molten Europium
<liquid:molten.eximite>, Molten Eximite
<liquid:molten.fairy>, Molten Fairy
<liquid:molten.fierysteel>, Molten Fiery Steel
<liquid:molten.force>, Molten Force
